term,definition
3중 DES(triple-DES(Data Encryption Standard),"DES(Data Encryption Standard)에 기초한 알고리즘으로서, 키 길이가 56 비트인 3개의
키를 이용해서 데이터 블록을 3번 암호화 및 복호화하는 구조를 가짐."
"AAA(Authentication, Authorization, and Accounting)","인증, 권한 부여, 과금, 인증이란 어떤 사람이나 사물이 실제로 등록(신고)된 바로 그 사람
(또는 실체)인지를 판단하는 과정이다. 개별 또는 인터넷을 포함한 공공 네트워크에서의
인증은 대게 로그온 시 패스워드(암호)의 사용을 통해 이루어짐."
ACL(Access Control List),"개개의 사용자들이 디렉터리나 파일과 같은 특정 시스템 객체에 접근할 수 있는 권한을
정의해 놓은 목록."
AES(Advanced Encryption Standard),"미국연방정부표준 블록 암호 알고리즘(NIST FIPS 197)이며 128 비트 블록 크기에 128,
192, 256 비트 키 길이를 지원함."
APCERT(Asia-Pacific Computer Emergency Response Team),"아시아, 태평양 지역의 국가대표 CERT(Computer Emergency Response Team) 조직 간
협의체로서, 매년 정기적으로 국제공동모의훈련을 주관하고 연례 총회를 개최하여 구성원
간 침해대응 관련 정보교류 및 협력 활동을 수행함."
API(Application Programming Interface),운영체제와 응용프로그램 사이의 통신에 사용되는 언어나 메시지 형식.
APT(Advanced Persistent Threat) 공격,"특정 공격 대상을 겨냥해 지능적, 지속적으로 은밀하게 공격을 행함으로써 기밀 정보 및
중요 정보를 유출하고 내부 시스템에 피해를 유발하는 해킹 기법으로, 해킹 공격 방법에
제약을 가지지 않는다는 특징을 가짐."
ARIA,"하드웨어 구현 최적화를 고려하여 설계된 범용 블록 암호 알고리즘으로 정부 행안망 등
에서 사용되고 있음. 128 비트 블록 크기에 128, 192, 256 비트 키 길이를 지원함."
ARP 스푸핑(ARP(Address Resolution Protocol) spoofing),"네트워크의 물리적 주소(MAC)를 변조함으로써 네트워크 구간에서의 트래픽 흐름을 가로
채거나 방해하는 공격 기법으로, 동일 네트워크(같은 빌딩, 아파트 등)에 존재하는 보안
게이트웨이의 IP를 해커 자신의 랜카드 주소(MAC)로 연결시켜 다른 PC에 전달되어야 하는
정보를 중간에서 가로채기함으로써 공격이 수행됨."
BAS(Breach and Attack Simulation),"다양한 보안 조치들이 목적에 맞게 동작하는지 확인하기 위해 실제 공격을 모방하여
조직의 IT 보안 능력을 시험하는 기술."
CASB(Cloud Access Security Broker),"클라우드 기반 리소스에 액세스할 때 엔터프라이즈 보안 정책을 결합하고 개입하기 위해
클라우드 서비스 소비자와 클라우드 서비스 공급자 사이에 배치되는 온프레미스 또는
클라우드 기반 보안 정책 시행 지점."
CC Attack(Cache-Control Attack),"서버에 과부하를 일으켜 시스템을 다운시키는 형태의 공격으로, HTTP 헤더에 정의된
Cache Control과 관련된 값을 변조함으로써 클라이언트에서 발생하는 모든 요청을 서버로
전달함으로써 서버의 부하를 증가시킴."
CRL 분배점(Certificate Revocation List distribution points),"공개 키 기반 구조에서 CRL(인증서 취소 목록) 크기가 증가하는 것을 방지하기 위하여,
전체 CRL을 취소 이유별로 구분하여 작은 크기 단위로 발행한 CRL을 찾기 위한 분배점을
나타냄. 인증서 폐지 목록을 접근하기 위한 디렉터리 엔트리."
CSR(Certificate Signing Request),"SSL 서버를 운영하는 회사의 정보를 암호화하여 인증 기관으로 보내 인증서를 발급받게
하는 일종의 신청서."
CTF(Capture The Flag),"해킹 대회 시 실력을 확인하는 방법 중의 하나로 단순 문제풀이 방식의 절대적 평가의
한계를 극복하기 위하여 본인의 서버를 방어하고 상대방의 서버를 공격하여 서로의 실력을
검증하는 대회 방법임."
CVE(Common Vulnerabilities and Exposures),알려진 취약점과 공격 위험에 대한 표준 목록 명칭.
DES(Data Encryption Standard),"80~90년대 미국 연방정부표준으로 사용된 블록 암호 알고리즘으로 64 비트 블록 크기에
56 비트 키 길이를 지원함. 현재는 안전성 문제로 인해 사용이 권고되고 있지 않으며
AES로 대체됨."
Diffie-Hellman 알고리즘(Diffie-Hellman Algorithm),"두 사용자가 사전에 어떠한 비밀 교환 없이도 공통키 교환을 가능하게 하는 가장 오래된
공개 키 암호 시스템으로 이산 구조의 복잡함을 활용한 방식임."
DMZ구간(DMZ zone),내부 자원을 보호하기 위해 내부망과 외부망 사이에서 접근제한을 수행하는 영역.
DNS 스푸핑(DNS(Domain name system) spoofing),"해커가 DNS 서버를 해킹하거나, 패킷을 조작하여 특정 도메인에 대응하는 IP주소를
해커가 원하는 IP 주소로 위조하는 기법."
DNS 싱크홀(DNS(Domain name system) sinkhole),"국내 주요 ISP와 협력을 통해 악성봇에 감염된 PC가 해커의 명령을 받기 위해 C&C로
연결을 시도할 때 C&C 대신 싱크홀 서버로 우회시켜 더 이상 해커로부터 조종 명령을
받지 않도록 해주는 시스템."
DNS 캐시 포이즈닝(DNS(Domain name system) cache poisoning attack),"DNS 프로토콜 자체의 취약성을 이용해 캐시 DNS에 저장된 쿼리 정보를 위, 변조하여
공격자가 원하는 주소로 DNS Cache 정보를 변경시키는 공격을 의미. 이용자가 질의한
도메인에 대해 공격자가 지정한 사이트로 연결시켜 버릴 수 있어 피싱, 악성코드 유포
등에 악용됨."
DPI (Deep Packet Inspection),"패킷의 출발지와 목적지 정보뿐 아니라 패킷의 내용까지 검사하는 방식. 애플리케이션
레벨(L7 레이어)의 데이터를 기반으로 패킷을 식별, 분류하여 특정 데이터를 분석하는 기술."
DRM(Digital Right Management),"디지털 미디어의 불법 또는 비인가된 사용을 제한하기 위하여 저작권 소유자나 판권
소유자가 이용하는 정보 보호 기술의 일종인 접근 제어 기술. 디지털 미디어의 생명 주기
동안 발생하는 사용 권한 관리, 과금, 유통 단계를 관리하는 기술로, 디지털 미디어의 불법
유통과 복제를 방지하고, 적법한 사용자의 미디어 사용을 보장함."
DSA(Digital Signature Algorithm),"공개 키 암호화 알고리즘 중 하나인 ElGamal에 기반하여 개발된 전자서명 알고리즘으로
미국연방정부표준(NIST FIPS 186-5)에 포함되어 있음."
DSS(Digital Signature Standard),"미국연방정부표준으로 등재된 암호 알고리즘 중 전자서명 표준(NIST FIPS 186)을 지칭
하는 것으로 RSA 서명, DSA, ECDSA, EdDSA를 포함하고 있음."
EAM(Extranet Access Management),"인트라넷, 엑스트라넷 및 일반 클라이언트/서버 환경에서 자원의 접근 인증과 이를 기반
으로 자원에 대한 접근 권한을 부여ㆍ관리하는 통합 인증 관리 솔루션. 하나의 ID와 암호
입력으로 다양한 시스템에 접근할 수 있고 각 ID에 따라 사용 권한을 차등 부여하는 통합
인증과 권한 관리 시스템임."
EAP(Extensible Authentication Protocol),"인증을 위해 사용하는 프로토콜로, EAP 자체 실제 인증 프로토콜이 아니지만 확장성을
지원하여 내부적으로 MD5, 일회용 패스워드(One-Time Password), 스마트 카드, 전송
계층 보안(EAP-TLS), 터널 방식으로 개량된 TLS(EAP-TTLS)와 같은 인증 방식을 사용
할 수 있음."
EAP-AKA(Extensible Authentication Protocol - Authentication and Key),"3세대 이동통신의 인증 및 키 일치 프로토콜. 가입자 인증 정보를 휴대단말이 아닌
UICC(Universal IC Card)에 안전하게 저장, 관리, 처리함으로써 가입자 인증 정보를 안전
하게 보호할 수 있음."
ECC(Elliptic Curve Cryptography),"Weistrass 방정식을 만족하는 점들의 집합인 타원곡선 군(Group)에 기반하여 설계된 공개
키 암호 체계로 소인수분해 문제나 이산대수 문제에 기반한 공개 키 암호 체계에 비해
짧은 키 길이로 동일한 안전성을 제공할 수 있다는 장점을 가지고 있음."
EDR(Endpoint Detection & Response),"컴퓨터와 모바일, 서버 등 단말(Endpoint)에서 발생하는 악성행위를 실시간으로 감지하고
이를 분석 및 대응하여 피해확산을 막는 솔루션."
EMS(Enterprise Management System),"전산 시스템들의 자체적 성능, 사용량, 이상 유무 등을 종합적으로 관리할 수 있는 시스템.
시스템에 대한 운영상황 감시와 사전조치, 서버 장애시 복구, 시스템 성능분석과 통계자료
등을 제공."
ESM(Enterprise Security Management),"침입차단시스템(Firewall), 침입탐지시스템(IDS), 침입방지시스템(IPS) 등 이기종의 다양한
보안 장비들로부터 발생하는 다양한 형태의 이벤트들에 대해 통합 관리를 함으로써 보안의
위협에 대해 종합적으로 분석 및 판단이 가능하도록 지원하는 시스템."
ESP(Encapsulating Security Payload),"IPSec 프로토콜의 일부분으로써, 송신하고자 하는 페이로드를 암호화하여 송수신 데이터에
대해 기밀성과 제한된 트래픽 흐름 기밀성을 제공. 기밀성, 데이터 출처 인증과 재전송
공격에 대한 보호 서비스도 제공."
FIRST(Forum of Incident Response and Security Teams),"각국의 정부, 교육기관, 상업에서 활동하고 있는 침해 사고 대응 팀들로 조직된 국제
협의체로, 매년 정기 운영회의, 연례 컨퍼런스, 기술 세미나 등을 통해 침해대응 정보교류
및 협력활동 수행."
Garbled Circuit,"신뢰할 수 있는 제3자의 존재 없이 신뢰할 수 없는 두 당사자가 개인별 입력값 노출없이
계산하는 함수를 공동으로 평가할 수 있는 암호화 프로토콜로 안전한 다자간 계산(MPC)의
주요 설계 구성요소임."
GET Flooding Attack,"HTTP 프로토콜의 GET 명령을 단수 또는 복수의 사용자가 대량으로 전송하여 웹서버
자원을 고갈시키는 분산서비스거부(DDoS) 공격."
HAS-160(Hash Algorithm Standard 160),"국내 단체표준으로 제정된 해시 함수 알고리즘으로 임의 길이 입력 메시지에 대해 160
비트 고정 길이 값을 출력함."
HIGHT(HIGh security and light weigHT),"RFID, USN 등과 같은 경량 환경에 특화하여 설계된 블록 암호 알고리즘으로 64 비트
블록 크기에 128 비트 키 길이를 지원함."
HTTP(Hyper Text Transport Protocol) Continuation Attack,"HTTP 프로토콜의 Continuation 명령을 대량으로 전송하여 웹서버의 자원을 고갈시키는
분산서비스거부(DDoS) 공격."
HTTP(Hyper Text Transport Protocol) Slow Attack,"DDoS 공격의 근원지를 식별하고 통제하는 것으로 어렵게 하기 위하여 정상 행위의 범위
내에서 작은 양의 HTTP GET 요청만을 발생시키는 공격으로, 근원지 IP당 작은 양의
요청을 하는 대신 다수의 IP가 동원됨."
ICMP(Internet Control Message Protocol) Flooding Attack,"네트워크 전송 구간의 가용성 상태를 체크하기 위한 목적으로 이용되는 ICMP 프로토콜을
다량의 발생시킴으로써 서버 및 네트워크의 과부하와 시스템 자원의 고갈을 유도하는 공격."
IKE(Internet Key Exchange),"IPSec(IP Security) 프로토콜에서 키와 알고리즘 파라미터를 포함한 각종 보안 메커니즘
상호 결정을 위해 사용하는 키 관리 프로토콜."
IP 스푸핑(IP(Internet Protocol) spoofing),"IP를 변조하는 공격 방법으로 IP 기반의 ACL 통제를 우회하거나 회피하기 위한 공격 방법
으로, 변조된 IP를 이용하여 공격을 행할 경우 향후 공격에 대한 추적을 어렵게 만들 수
있음."
IP 역추적(IP(Internet Protocol) traceback),"사이버 범죄를 시도하는 공격자의 실제 위치를 탐색할 수 있는 기술로 크게 네트워크상의
모든 라우터가 자신을 지나가는 패킷에 자신의 IP주소를 마킹하는 기법과 ICMP(Internet
Control Message Protocol) 메시지를 이용하여 근원지 패킷의 전달 경로 정보를 파악하는
기법, 그리고 네트워크 관리 프로토콜을 응용한 방법 등으로 나눌 수 있음."
IPSec(Internet Protocol Security),"네트워크 계층인 인터넷 프로토콜에서 보안성을 제공하는 표준(IETF RFC) 기술로 데이터에
대한 인증 제공에 한정한 인증 헤더(Authentication Header)와 데이터에 대한 인증과
기밀성을 함께 지원하는 ESP(Encapsulating Security Payload) 등 두 종류의 보안 서비스를
제공하며, 보안 게이트웨이 간의 보안 터널을 제공하는 터널모드와 종단 호스트 간의 보안
터널을 제공하는 트랜스포트 모드 등 2가지 모드를 제공함."
ISAKMP(Internet Security Association and Key Management Protocol),"CISCO Systems에서 제안한 키 관리 프로토콜로서 보안 연계(SA) 관리와 협상을 위한
자료를 저장하는 형식을 명시하며 새로운 키 관리 프로토콜이 없이도 여러 종류의 키 교환
알고리즘과 암호화 협상이 삽입될 수 있음."
KCDSA(Korea Certificate-based Digital Signature Algorithm),"국내 단체표준 및 ISO 표준으로 제정된 전자서명 알고리즘으로 이산대수 문제(Discrete
Logarithm Problem)의 어려움에 기반하여 설계됨."
KrCERT/CC(KOREA Computer Emergency Response Team/Coordination,"대한민국 대표 CERT 조직으로서 국내 인터넷망의 침해 사고 대응 활동 및 공조 체제를
구축․운영하고, 국제적 침해 사고 대응을 위한 단일 창구의 역할도 수행하고 있음."
LAND Attack,"인위적으로 송신지 IP 주소 및 Port를 목적지(대상 웹서버) IP 주소 및 Port와 동일하게
설정하여 트래픽을 전송하는 공격."
LDAP(Lightweight Directory Access Protocol),"인증서와 인증서폐지목록 등의 PKI 정보를 모아둔 디렉터리로의 접근 프로토콜. 조직이나
실체, 그리고 인터넷, 기업 내의 인트라넷 등 네트워크상에 있는 파일이나 장치들과 같은
자원 등의 위치를 찾을 수 있게 해주는 소프트웨어 프로토콜. LDAP은 DAP(디렉터리 접근
프로토콜)보다 코드의 양이 적은 경량판이며, 네트워크 내의 디렉터리 서비스 표준인
X.500을 가볍게 재조정한 것. X.500은 UNIX 시스템의 OSI 7계층 구조로 중대형 컴퓨터에
사용되던 것으로 일반 데스크톱 PC의 인터넷 환경에서는 시스템의 과부하를 일으켜
현실적으로 사용하기 어려움. 이런 단점을 LDAP은 OSI 7 계층을 사용하는 대신 인터넷
프로토콜(TCP/IP) 스택을 사용함으로써 해결함."
MD5(Message-Digest algorithm 5),"해시 함수 알고리즘 중 하나로 Unix 패스워드 저장이나 APOP 등의 다양한 암호 응용
프로토콜에 적용되었으나, 현재는 안전성 문제로 인해 사용이 권고되고 있지 않으며
SHA로 대체되고 있음."
MDR(Managed Defense & Response),"보안 솔루션과 매니지드 서비스가 결합된 보안 모델로 네트워크 및 호스트에서 탐지된
위협들을 제거하고 대응하는 서비스 또는 아웃소싱 행위를 말한다. 즉 전문 보안팀이
네트워크에 침입한 악성코드와 악성 행위를 탐지하고 위협을 제거하기 위한 서비스"
MIME(Multi-purpose Internet Mail Extensions),"인터넷 프로토콜 군에서 전자 우편의 멀티미디어를 지원하기 위한 표준(IETF RFC)기술.
인터넷 통신에서 여러 포맷의 문서를 전송하기 위해 사용(보통의 텍스트 데이터 이외의
확장 코드나, 화상, 음성 등을 인터넷 메일로 보내기 위한 방법)되며, 원래 문서 내용의
포맷과 컴퓨터상에 나타나는 문서 포맷 간의 관계를 설정하는 것으로 복잡한 파일 포맷을
관리함."
Nak Attack,"비동기 인터럽트 시 보호되지 않는 상태에서 시스템에 남아 있는 인터럽트 등을 운영체제가
적당히 제어하지 않음으로써 생기는 잠재적 약점을 이용하여 침투하는 공격기법."
NIST(National Institute of Standards and Technology),"미국 국립 표준 기술 연구소로서, 정부의 기술표준 활동과 민간 부문의 적합성평가 활동을
조정하고, 자발적인 표준 사용 참여를 위한 가이드라인 제공."
Non Blind IP Spoofing,"호스트 A와 호스트 B가 송수신하는 Packet 볼 수 있는 상태. Sequence Number를 알 수
있어 공격 용이함."
NTA(Network Traffic Analysis),"네트워크 패킷 분석에 초점을 맞춘 솔루션. 네트워크 위협 탐지 및 대응(NDR) 솔루션과
비슷한 개념이며 네트워크 풀패킷 분석을 통해 실시간 위협을 탐지하고 대응."
OTP(One Time Password),"인터넷뱅킹 등 전자금융거래 시 고정된 비밀번호 대신 매 1분마다 다른 비밀번호를 사용
하는 일회용 비밀번호."
OWASP(The Open Web Application Security Project),"웹 애플리케이션 보안을 연구하는 비영리 단체로, 주로 웹을 통한 정보 유출, 취약점 등을
연구하며, 10대 웹 애플리케이션 취약점(OWASP TOP 10)을 매년 공개 발표함."
P3P(Platform for Privacy Preferences),"W3C에서 개발한 프라이버시보호 표준기술플랫폼으로, 개인정보 보호 정책을 표준화된
형식으로 표현하여 사용자 에이전트가 사이트의 개인정보 보호 정책을 자동으로 검색하고
쉽게 해석할 수 있는 기술."
PEM(Privacy Enhanced Mail),"인터넷 표준화 조직 IETF에서 제정한 인터넷 전자 우편 보안 표준 규약임. 메시지의
기밀성과 무결성, 사용자 인증, 송/수신 부인 방지, 메시지 반복 공격 방지 기능을 지원함.
PEM은
PGP(Pretty
Good
Privacy)와
S/MIME(Secure/Multipurpose
Internet
Mail
Extensions)에 비해 인증 계층 구조가 엄격함."
PET(Privacy Enhancing Technologies),"개인 데이터 사용을 최소화하고 데이터 보안을 최대화하며 개인 데이터 활용간 개인정보
침해를 막기 위한 기술들로, 동형암호(HE), 영지식 증명(ZKP) 및 다자간 계산(MPC) 등의
기술들이 포함되어 있음."
PGP(Pretty Good Privacy),"필 짐머맨(Phil Zimmermann)이 개발한 인터넷 전자 우편 보안 규약임. 메시지의 기밀성과
무결성, 사용자 인증, 송/수신 부인 방지, 메시지 반복 공격 방지 기능을 지원함. PGP의
보안성은 PEM(Privacy Enhanced Mail)보다 낮음."
PIR(Private Information Retrieval),"사용자가 검색된 항목을 공개하지 않고 데이터베이스를 소유한 서버에서 항목을 검색할
수 있는 암호화 프로토콜."
POS(Point of sales),"상점의 전자식 금전 등록기, 정찰 판독 장치 등을 컴퓨터에 연결하여 상품 데이터를
관리하는 시스템으로 매상이 발생하는 시점에서 상품명이나 가격 등에 관한 데이터를 수집
하여 컴퓨터로 관리함. 인터넷의 발달로 등장한 웹 기반의 POS는 카운터의 제약을 뛰어
넘어 사용자의 집이나 사무실로 그 영역을 확대하고 있으며, 매출 관리뿐만 아니라, 손익
관리, 재고 관리, 고객 관리, 사원 관리 등 다양한 기능이 컨버전스되어 있음."
PSI(Private Set Intersection),"집합을 보유한 두 당사자가 집합내 공통 원소(교집합)을 안전하게 계산하는 다자간 암호화
(MPC) 기술."
RADIUS(Remote Authentication Dial-in User Services),"원격지 이용자의 접속 요구 시 이용자 ID나 패스워드, IP 주소 등의 정보를 인증 서버에
보내어 이용자의 식별 및 인증을 실행하는 것으로, 사원의 자택이나 외출 시 공중 회선
또는 인터넷을 거쳐 서버에 원격 접속하는 기회가 증가되고 있기 때문에 이용자 인증
시스템 역시 결함이 없어야 하며, 접속할 때쯤 암호를 변경해도 정당한 이용자만을 인증
하기 때문에 암호를 도난당한 경우에도 부정사용을 방지할 수 있음."
"RSA(Rivest, Shamir, Adleman)","설계자인 D. Rivest, A. Shamir, L. Adelman의 머릿글자를 따서 명명된 공개 키 암호 체계로,
인수분해
문제의
어려움에
기반하여
고안되었으며,
공개
키
암호화
알고리즘(예
RSA-OAEP)이나 전자서명 알고리즘(예 RSA-PSS) 설계의 기반 프리미티브로 사용됨."
S/MIME(Secure Multipurpose Internet Mail Extension),"전자 우편의 안전성을 보장하는 전송 방식의 하나. S/MIME은 인터넷의 멀티미디어 전자
우편 프로토콜인 MIME(Multi-purpose Internet Mail Extensions)을 확장해서 전자 우편
자체에 대한 암호 처리와 전자 우편에 첨부하는 전자서명을 제공."
SASE(Secure Access Service Edge),"네트워크와 보안을 하나로 통합한 클라우드 기반 보안 기술로서, 모바일 환경, 원격근무
환경, 클라우드 환경 등 내외부 경계가 모호한 환경에 적합하며, 네트워크 보안, 웹 보안,
암호화, 데이터 유출 방지(DLP, Data Loss Prevention), 클라우드 접근 보안 중개 서비스
(CASB, Cloud Access Security Broker), 식별/접근 관리(IAM, Identity and Access
Management) 등 다양한 보안 기능을 통합하여 제공."
SCADA(Supervisory Control and Data Acquisition),"통신 경로상의 아날로그 또는 디지털 신호를 사용하여 원격 상태 정보 자료를 수집, 처리
하여 중앙 제어 시스템이 원격 장치를 감시 제어하는 시스템. 주로 석유 화학 플랜트, 제철
공정 시설, 송배전 시설, 공장 자동화 시설 등을 중앙 집중식으로 감시ㆍ제어하며, 원방
감시제어시스템, 스카다(SCADA), 원격 정보 수집 및 제어 시스템 등으로도 지칭됨."
SDN(Software-Defined Network),"네트워크 자원의 개방화 및 가상화를 통해 네트워크 설정을 소프트웨어적으로 제어할 수
있도록 하는 기술."
SDP(Software-Defined Perimeter),서버를 은폐해 해커의 침입을 원천적으로 막고 허가된 사용자에게만 접근을 허용.
SEED,"민간 부분인 인터넷, 전자상거래, 무선 통신 등에서 민감 정보 및 프라이버시 보호를 위해
1999년 2월 KISA가 주축이 되어 개발한 128 비트 블록 크기에 128 비트 키 길이의 블록
암호 알고리즘으로, IETF 및 ISO/IEC 국제표준으로 채택된 바 있음."
SET(Secure Electronic Transaction) 프로토콜,"SET 프로토콜은 Visa와 Master Card에서 안전한 온라인 거래를 위해서 개발한 프로토콜.
네트워크를 통해서 거래(transaction)가 이루어지는 온라인 거래의 경우 개인의 은행 계좌
정보나 신용 정보 등이 공중망을 통해서 노출되거나 문서의 위조․변경 등의 문제를 해결
하기 위해서 만들어졌으며, 메시지 암호화 방법을 이용하여 데이터의 기밀성을 보장하고,
이중 전자서명을 이용하여 데이터의 무결성을 보장하며, 전자서명과 인증서를 이용하여
실체를 인증함."
SHA(Secure Hash Algorithm),"미국연방정부표준 해시 함수 알고리즘으로 임의길이 메시지에 대해 160, 224, 256, 384,
512 비트 출력값을 생성하도록 설계됨. 각각의 출력 길이에 따라 알고리즘의 내부 구조나
초기값, 출력 방법 등이 다르기 때문에 각각을 SHA-1, SHA-224, SHA-256, SHA-384,
SHA-512, SHA-512/224, SHA-512/256으로 구분함. SHA를 포함하는 미국연방정부표준
SHS(Secure Hash Standard)는 NIST FIPS 180-4로 발간되어 관리되고 있음."
Slow Post Attack,"분산서비스거부(DDoS) 공격의 근원지를 식별하고 통제하는 것으로 어렵게 하기 위하여
정상 행위의 범위 내에서 작은 양의 HTTP POST 요청만을 발생시키는 공격. 이 공격의
경우는 근원지 IP 당 작은 양의 요청을 하는 대신 다수의 IP가 동원됨."
Slowloris Attack,"Slow POST Attack과 비슷한 원리의 공격으로 불완전한 HTTP method의 패킷을 웹서버로
전송하여
웹서버의 HTTP 연결 수를 다른 정상 이용자가 사용할 수 없도록 선점하는
분산서비스거부(DDoS) 공격."
SMS 피싱(SMS Phishing),"휴대폰의 SMS(단문자 메시지 서비스)를 이용한 결제 사기 수법으로, 메시지나 사진이 도착
했다면서 가입자를 유료 페이지로 유도하여 정보를 자동으로 이용하게 함으로써 사용료를
결제하게 만드는 수법 같은 것이 대표적임."
"SOAR(Security Orchestration, Automation & Response)","보안 운영 시 유입되는 다양한 보안위협에 대해 대응 수준을 자동으로 분류하고, 표준화된
업무 프로세스에 따라 사람과 기계가 유기적으로 협력할 수 있도록 지원하는 플랫폼."
SOC(Security Operation Center),24시간 365일 운영되는 보안 관제 센터.
SQL 인젝션(SQL(Structured Query Language) injection),"다양한 응용 프로그램에 S/W 개발자가 생각지 못한 입력 및 조작으로 인해 발생하는
SQL 명령문의 구문 오류를 이용하여 발생하는 공격 기법으로, 웹 서비스의 필터를 우회한
DB 정보의 비정상적인 접근 및 명령어를 실행할 수 있음."
SSL(Secure Socket Layer),"인터넷에서 데이터를 안전하게 전송하기 위해 넷스케이프사에서 만든 프로토콜로써
HTTP나 FTP등의 데이터를 암호화하여 송/수신하는 기술. SSL 프로토콜에 기반해 보안
서버로 구축된 웹사이트는 인터넷 주소가 ‘http’ 대신 ‘https’ 를 사용."
TCP(Transmission Control Protocol) flags flooding Attack,"TCP 프로토콜의 특정 Flags(SYN, ACK, FIN, RESET 등) 패킷을 대량으로 전송하여 웹
서버 자원 또는 회선 대역폭을 고갈시키는 분산서비스거부(DDoS) 공격."
